garmin_product,hardware_version,manufacturer,number,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_2,unknown_253,unknown_3,unknown_4,unknown_6,unknown_7,unknown_8,unknown_9
4063,,garmin,,3488215908,,,41,,,,,,,,,,,,
,,,,,325,,,,,,,,,,,,,,
,,,,,,,,159,,,6,10,1101668617,,5,,,,0
,,,,,,,,159,,,6,10,1101668618,,27,,,,0
,,,,,,,,159,,,6,10,1101668619,,1,,,,0
,,,,,,,,159,,,6,10,1101668619,,18,,,,0
,,,,,,,,159,,,6,10,1101668620,,0,,,,0
,,,,,,,,159,,,6,10,1101668620,,6,,,,0
,,,,,,,,159,,,6,10,1101668621,,7,,,,0
,,,,,,,,159,,,6,10,1101668622,,2,,,,0
,,,,,,,,159,,,6,10,1101668622,,5,,,,0
,,,,,,,,159,,,6,10,1101668623,,27,,,,0
