garmin_product,hardware_version,manufacturer,number,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_2,unknown_253,unknown_3,unknown_4,unknown_6,unknown_7,unknown_8,unknown_9
4063,,garmin,,3488215908,,,41,,,,,,,,,,,,
,,,,,325,,,,,,,,,,,,,,
,,,,,,,,159,,,7,10,1101009754,,27,,,,0
,,,,,,,,159,,,7,10,1101009754,,1,,,,0
,,,,,,,,159,,,7,10,1101015424,,18,,,,0
,,,,,,,,159,,,7,10,1101015452,,0,,,,0
,,,,,,,,159,,,7,10,1101015454,,7,,,,0
,,,,,,,,159,,,7,10,1101015455,,2,,,,0
,,,,,,,,159,,,7,10,1101015455,,5,,,,0
,,,,,,,,159,,,7,10,1101015456,,27,,,,0
,,,,,,,,159,,,7,10,1101015456,,1,,,,0
,,,,,,,,159,,,7,10,1101015457,,18,,,,0
,,,,,,,,159,,,7,10,1101015634,,0,,,,0
,,,,,,,,159,,,7,10,1101016057,,7,,,,0
,,,,,,,,159,,,7,10,1101016057,,2,,,,0
,,,,,,,,159,,,7,10,1101016234,,5,,,,0
