garmin_product,hardware_version,manufacturer,number,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_2,unknown_253,unknown_3,unknown_4,unknown_6,unknown_7,unknown_8,unknown_9
4063,,garmin,,3488215908,,,41,,,,,,,,,,,,
,,,,,325,,,,,,,,,,,,,,
,,,,,,,,159,,,6,10,1101181718,,1,,,,0
,,,,,,,,159,,,6,10,1101181720,,18,,,,0
,,,,,,,,159,,,6,10,1101181721,,0,,,,0
,,,,,,,,159,,,6,10,1101181721,,6,,,,0
,,,,,,,,159,,,6,10,1101181722,,7,,,,0
,,,,,,,,159,,,6,10,1101181722,,2,,,,0
,,,,,,,,159,,,6,10,1101183220,,5,,,,0
,,,,,,,,159,,,6,10,1101183577,,27,,,,0
,,,,,,,,159,,,6,10,1101183578,,1,,,,0
,,,,,,,,159,,,6,10,1101183582,,18,,,,0
,,,,,,,,159,,,6,10,1101183582,,0,,,,0
,,,,,,,,159,,,6,10,1101183583,,6,,,,0
,,,,,,,,159,,,6,10,1101183583,,7,,,,0
,,,,,,,,159,,,6,10,1101183583,,2,,,,0
,,,,,,,,159,,,6,10,1101187299,,5,,,,0
,,,,,,,,159,,,6,10,1101187299,,27,,,,0
,,,,,,,,159,,,6,10,1101201083,,1,,,,0
,,,,,,,,159,,,6,10,1101205848,,18,,,,0
,,,,,,,,159,,,6,10,1101205849,,0,,,,0
,,,,,,,,159,,,6,10,1101205849,,6,,,,0
