activity_type,current_activity_type_intensity,cycles_to_calories,cycles_to_distance,data,data16,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,4063,,,,garmin,8,,3488215908,,,,2024-11-19 16:00:00,,,monitoring_b,,,,,,,,,,,,,,,
,,,,,,,,,4063,,,,garmin,,,3488215908,3.23,,,,2024-11-19 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,
"(6, 1)",,"(0.0394, 0.124)","(1.6016, 2.4024)",,,,,,,,,2024-11-20 00:00:00,,,1952,,,,,,2024-11-19 16:00:00,,,,,,,,,,,,,,,"(7500, 7500)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 106, 159, 65, 0, 2, 0, 218, 158, 0, 0, 181, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 106, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-19 16:00:00,,,,,,,,,,,0,0,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,1100966400,,,,,,,,
,,,,200,200,,78,marker,,,,,,,,,,,,,2024-11-19 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 106, 159, 65, 0, 2, 0, 218, 158, 0, 0, 181, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 106, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-19 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,
,,,,9,9,,54,marker,,,,,,,,,,,,,2024-11-19 16:01:00,,,,,8,1100965020,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 16:01:00,24,,,,,,,,,,2,,65,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1318,,,,,,1100966460,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(60, 106, 159, 65, 1, 0, 71, 83, 255, 1, 0, 0, 0, 188, 218, 159, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(60, 106, 159, 65, 1, 1, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,71,,,,,,,,,,,,27196,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 43, 213, 192)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 16:02:00,20,,,,,,,,,,20,,65,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1356,,,,,,1100966520,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(120, 106, 159, 65, 1, 0, 72, 82, 79, 2, 0, 84, 0, 248, 218, 159, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(120, 106, 159, 65, 1, 1, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,72,,,,,,,,,,,,27256,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 76, 108, 185)",,,,,,,,,
sedentary,"(104,)",,,,,,,,,,3,,,,,,,,,,2024-11-19 16:02:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 16:03:00,33,,,,,,,,,,-10,,65,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1364,,,,,,1100966580,,,,,,,,
,,,,,,,,,,79,,,,,,,,,,,,27316,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 28, 1, 176)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-19 16:03:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 16:04:00,39,,,,,,,,,,-19,,65,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1313,,,,,,1100966640,,,,,,,,
,,,,,,,,,,77,,,,,,,,,,,,27376,,,,,,,,,,,,,,,,
