ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,data,device_index,device_type,event,event_group,event_type,garmin_product,hardware_version,manufacturer,number,sensor_position,serial_number,software_version,source_type,time_created,timestamp,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_19,unknown_2,unknown_20,unknown_23,unknown_24,unknown_251,unknown_252,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
,,,,,,,,,,,,4063,,garmin,,,3488215908,,,2024-12-01 04:44:10,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4063,,garmin,,,3488215908,3.25,,,2024-12-01 04:44:10,,,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,60,,,,,,,,,,1101991450,,,,,,1101962650,,1,,,,6.16.1.4-ETE-garmin-db5eee27,,,,,
,,,,,,1101960600,,,74,,start,,,,,,,,,,2024-11-30 20:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1101988380,,,74,,stop,,,,,,,,,,2024-12-01 03:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,62,64,57,3,24,13,61,2606,130,,,61,,,,,1,,,100,,,,79,100,66,68,47,90
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101932520,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101937380,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101937680,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101938580,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101939240,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101939900,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101940380,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101940740,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101942600,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101945120,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101946680,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101948360,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101948780,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1101949680,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101952380,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101954720,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101955620,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1101955800,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101956460,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1101956880,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101957900,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1101958560,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101959580,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,15000,59,,,,,,,,,,"(18, 20, 59, 6, 2, 5, 24, 16, 13, 5, 5, 11, 1, 1, 2, 5, 7, 8, 3, 2, 2, 9, 2, 3, 47, 5, 2, 20, 4, 6, 3, 1, 1, 5, 14, 1, 15, 4, 5, 2, 12, 5, 4, 1, 2, 7, 1, 11, 3, 1, 13, 1, 6, 1, 1, 0, 17, 5, 7, 251, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)",,,,,,,,,,,,,,,,,
