ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,data,device_index,device_type,event,event_group,event_type,garmin_product,hardware_version,manufacturer,number,sensor_position,serial_number,software_version,source_type,time_created,timestamp,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_19,unknown_2,unknown_20,unknown_23,unknown_24,unknown_251,unknown_252,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
,,,,,,,,,,,,4063,,garmin,,,3488215908,,,2024-11-27 02:34:10,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4063,,garmin,,,3488215908,3.25,,,2024-11-27 02:34:10,,,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,60,,,,,,,,,,1101638050,,,,,,1101609250,,1,,,,6.16.1.4-ETE-garmin-db5eee27,,,,,
,,,,,,1101610500,,,74,,start,,,,,,,,,,2024-11-26 18:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1101635160,,,74,,stop,,,,,,,,,,2024-11-27 01:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,100,100,87,0,9,2,97,1385,129,,,100,,,,,1,,,100,,,,76,91,82,90,85,74
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101582300,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101586800,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101589320,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101589680,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101591900,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101593820,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101596100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101597240,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101599460,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101601200,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101605640,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101606360,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,10500,33,,,,,,,,,,"(15, 28, 37, 7, 8, 20, 23, 3, 4, 12, 5, 20, 8, 13, 8, 7, 7, 33, 10, 1, 3, 15, 20, 9, 9, 4, 3, 4, 53, 2, 7, 5, 6, 251, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)",,,,,,,,,,,,,,,,,
