garmin_product,hardware_version,manufacturer,number,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_2,unknown_253,unknown_3,unknown_4,unknown_6,unknown_7,unknown_8,unknown_9
4063,,garmin,,3488215908,,,41,,,,,,,,,,,,
,,,,,325,,,,,,,,,,,,,,
,,,,,,,,159,,,6,10,1101114963,,5,,,,0
,,,,,,,,159,,,6,10,1101118412,,27,,,,0
,,,,,,,,159,,,6,10,1101118413,,1,,,,0
,,,,,,,,159,,,6,10,1101118426,,18,,,,0
,,,,,,,,159,,,6,10,1101118880,,0,,,,0
,,,,,,,,159,,,6,10,1101130272,,6,,,,0
,,,,,,,,159,,,6,10,1101130272,,7,,,,0
,,,,,,,,159,,,6,10,1101132111,,2,,,,0
,,,,,,,,159,,,6,10,1101137671,,5,,,,0
,,,,,,,,159,,,6,10,1101137671,,27,,,,0
,,,,,,,,159,,,6,10,1101137672,,1,,,,0
,,,,,,,,159,,,6,10,1101137672,,18,,,,0
,,,,,,,,159,,,6,10,1101137673,,0,,,,0
,,,,,,,,159,,,6,10,1101137673,,6,,,,0
,,,,,,,,159,,,6,10,1101137673,,7,,,,0
,,,,,,,,159,,,6,10,1101137678,,2,,,,0
,,,,,,,,159,,,6,10,1101137678,,5,,,,0
,,,,,,,,159,,,6,10,1101137679,,27,,,,0
,,,,,,,,159,,,6,10,1101137679,,1,,,,0
,,,,,,,,159,,,6,10,1101137679,,18,,,,0
,,,,,,,,159,,,6,10,1101138658,,0,,,,0
,,,,,,,,159,,,6,10,1101138659,,6,,,,0
,,,,,,,,159,,,6,10,1101138659,,7,,,,0
,,,,,,,,159,,,6,10,1101138660,,2,,,,0
,,,,,,,,159,,,6,10,1101139979,,5,,,,0
,,,,,,,,159,,,6,10,1101139979,,27,,,,0
,,,,,,,,159,,,6,10,1101139980,,1,,,,0
,,,,,,,,159,,,6,10,1101139981,,18,,,,0
,,,,,,,,159,,,6,10,1101139982,,0,,,,0
,,,,,,,,159,,,6,10,1101139982,,6,,,,0
,,,,,,,,159,,,6,10,1101139982,,7,,,,0
,,,,,,,,159,,,6,10,1101139983,,2,,,,0
,,,,,,,,159,,,6,10,1101139983,,5,,,,0
,,,,,,,,159,,,6,10,1101140429,,27,,,,0
,,,,,,,,159,,,6,10,1101140459,,1,,,,0
,,,,,,,,159,,,6,10,1101141433,,18,,,,0
