active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,,,,,,4063,,,,garmin,81,,3488215908,,,,,2024-12-02 08:45:00,,,monitoring_b,,,,,,,,,,,,
,,,,,,,,,,,,,,4063,,,,garmin,,,3488215908,3.25,,,,,2024-12-02 08:45:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,200,,,,,,,,,
,,"(6, 1)",,,"(0.039, 0.1234)","(1.5924, 2.3886)",,,,,,,,,,,2024-12-02 16:45:00,,,1942,,,,,,,2024-12-02 08:45:00,,,,,,,,,,,,"(5690, 5690)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(174, 39, 176, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(174, 39, 176, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
81,1755.0,generic,,0.0,,,,,0.0,1005,,,,,,,,,,,,,,,,,2024-12-02 08:45:00,,,,,,,,,,,,,,
145,2400.0,walking,,,,,,,1806.62,1005,,,,,,,,,,,,,2269,,,,2024-12-02 08:45:00,,,,,,,,,,,,,,
0,15.0,running,,,,,,,27.47,1005,,,,,,,,,,,,,23,,,,2024-12-02 08:45:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 08:45:00,,,,,,,,10,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,55,,1102063500,,,,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,1102063500,,,,,,,,
,,,,,,,200,200,,,,78,marker,,,,,,,,,,,,,,2024-12-02 08:45:34,,,,,,,,,,,,,,
,,9,"(9,)",,,,,,,,,,,,,0,,,,,,,,,,,2024-12-02 08:45:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(88, 0, 0, 224)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(146, 141, 0, 208)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 208)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 08:46:00,-2,,,,,,,102,,31,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,1102063560,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 0, 0, 200)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 08:47:00,-2,,,,,,,102,,31,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,1102063620,,,,,,,,
,,,,,,,,,,,,,,,0,,,,,,,,,,,,,10244,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(40, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 08:48:00,89,,,,,,,-85,,31,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367,,,1102063680,,,,,,,,
,,,,,,,,,,,,,,,95,,,,,,,,,,,,,10304,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 192)",,,,,,,,,
,,sedentary,"(136,)",,,,,,,,,,,,,4,,,,,,,,,,,2024-12-02 08:48:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 08:49:00,92,,,,,,,-89,,31,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,,,1102063740,,,,,,,,
,,,,,,,,,,,,,,,102,,,,,,,,,,,,,10364,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 184)",,,,,,,,,
82,1815.0,generic,"(160,)",0.0,,,,,,,,,,,,5,,,,,,,,,,,,10364,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 08:50:00,90,,,,,,,-87,,31,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,,,1102063800,,,,,,,,
,,,,,,,,,,,,,,,99,,,,,,,,,,,,,10424,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(138, 255, 255, 255)",,,,,,,,,
,,sedentary,"(104,)",,,,,,,,,,,,,3,,,,,,,,,,,2024-12-02 08:50:00,,,,,,,,,,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,1102063800,,,,,,,,
82,1815.0,generic,,0.0,,,,,0.0,1010,,,,,,,,,,,,,,,,,2024-12-02 08:50:00,,,,,,,,,,,,,,
145,2400.0,walking,,,,,,,1806.62,1010,,,,,,,,,,,,,2269,,,,2024-12-02 08:50:00,,,,,,,,,,,,,,
0,15.0,running,,,,,,,27.47,1010,,,,,,,,,,,,,23,,,,2024-12-02 08:50:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 08:50:00,,,,,,,,10,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,55,,1102063800,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(184, 40, 176, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(184, 40, 176, 65, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
