activity_type,current_activity_type_intensity,cycles_to_calories,cycles_to_distance,data,data16,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,4063,,,,garmin,55,,3488215908,,,,2024-11-27 16:00:00,,,monitoring_b,,,,,,,,,,,,,,,
,,,,,,,,,4063,,,,garmin,,,3488215908,3.25,,,,2024-11-27 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,
"(6, 1)",,"(0.039, 0.1234)","(1.5924, 2.3886)",,,,,,,,,2024-11-28 00:00:00,,,1942,,,,,,2024-11-27 16:00:00,,,,,,,,,,,,,,,"(6140, 6140)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 246, 169, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 246, 169, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-27 16:00:00,,,,,,,,,,,0,0,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,1101657600,,,,,,,,
,,,,200,200,,78,marker,,,,,,,,,,,,,2024-11-27 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 246, 169, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 246, 169, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-27 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(20, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:01:00,74,,,,,,,,,,-65,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1503,,,,,,1101657660,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(60, 246, 169, 65, 1, 0, 78, 82, 57, 1, 0, 186, 4, 188, 102, 170, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(60, 246, 169, 65, 1, 1, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,78,,,,,,,,,,,,63036,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 56, 1, 176)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:02:00,69,,,,,,,,,,-59,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1579,,,,,,1101657720,,,,,,,,
,,,,,,,,,,84,,,,,,,,,,,,63096,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 0, 4, 240)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:03:00,81,,,,,,,,,,-75,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1537,,,,,,1101657780,,,,,,,,
,,,,,,,,,,82,,,,,,,,,,,,63156,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 80)",,,,,,,,,
,,,,6,6,,54,marker,,,,,,,,,,,,,2024-11-27 16:04:00,,,,,0,1101656580,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:04:00,79,,,,,,,,,,-72,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1457,,,,,,1101657840,,,,,,,,
,,,,,,,,,,92,,,,,,,,,,,,63216,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(27, 98, 0, 0)",,,,,,,,,
,,,,1,1,,54,marker,,,,,,,,,,,,,2024-11-27 16:05:00,,,,,8,1101656940,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:05:00,72,,,,,,,,,,-62,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1451,,,,,,1101657900,,,,,,,,
,,,,,,,,,,86,,,,,,,,,,,,63276,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 100, 1, 176)",,,,,,,,,
,,,,1,1,,54,marker,,,,,,,,,,,,,2024-11-27 16:06:00,,,,,0,1101657000,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:06:00,76,,,,,,,,,,-68,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1440,,,,,,1101657960,,,,,,,,
,,,,,,,,,,84,,,,,,,,,,,,63336,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 32, 19, 11)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:07:00,63,,,,,,,,,,-51,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1390,,,,,,1101658020,,,,,,,,
,,,,,,,,,,87,,,,,,,,,,,,63396,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(96, 96, 0, 16)",,,,,,,,,
,,,,2,2,,54,marker,,,,,,,,,,,,,2024-11-27 16:08:00,,,,,8,1101657060,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:08:00,63,,,,,,,,,,-50,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1429,,,,,,1101658080,,,,,,,,
,,,,,,,,,,81,,,,,,,,,,,,63456,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 0, 4, 240)",,,,,,,,,
,,,,1,1,,54,marker,,,,,,,,,,,,,2024-11-27 16:09:00,,,,,0,1101657180,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:09:00,58,,,,,,,,,,-44,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1441,,,,,,1101658140,,,,,,,,
,,,,,,,,,,78,,,,,,,,,,,,63516,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 0, 0, 24)",,,,,,,,,
,,,,1,1,,54,marker,,,,,,,,,,,,,2024-11-27 16:10:00,,,,,8,1101657240,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:10:00,47,,,,,,,,,,-29,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1413,,,,,,1101658200,,,,,,,,
,,,,,,,,,,77,,,,,,,,,,,,63576,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 64, 1, 32)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:11:00,68,,,,,,,,,,-57,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1395,,,,,,1101658260,,,,,,,,
,,,,,,,,,,73,,,,,,,,,,,,63636,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 82, 13, 40)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:12:00,72,,,,,,,,,,-62,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1420,,,,,,1101658320,,,,,,,,
,,,,,,,,,,82,,,,,,,,,,,,63696,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(192, 31, 240, 55)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:13:00,63,,,,,,,,,,-50,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1321,,,,,,1101658380,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 70, 20, 56)",,,,,,,,,
,,,,4,4,,54,marker,,,,,,,,,,,,,2024-11-27 16:14:00,,,,,0,1101657300,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-27 16:14:00,69,,,,,,,,,,-58,,5,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1237,,,,,,1101658440,,,,,,,,
