active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,,,,,,4063,,,,garmin,70,,3488215908,,,,,2024-11-30 04:05:00,,,monitoring_b,,,,,,,,,,,,
,,,,,,,,,,,,,,4063,,,,garmin,,,3488215908,3.25,,,,,2024-11-30 04:05:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,200,,,,,,,,,
,,"(6, 1)",,,"(0.039, 0.1234)","(1.5924, 2.3886)",,,,,,,,,,,2024-11-30 12:05:00,,,1942,,,,,,,2024-11-30 04:05:00,,,,,,,,,,,,"(6270, 6270)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 66, 173, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 66, 173, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
2,60.0,generic,,0.0,,,,,0.0,725,,,,,,,,,,,,,,,,,2024-11-30 04:05:00,,,,,,,,,,,,,,
10,625.0,walking,,,,,,,195.08,725,,,,,,,,,,,,,245,,,,2024-11-30 04:05:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-30 04:05:00,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,55,,1101873900,,,,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,1101873900,,,,,,,,
,,,,,,,200,200,,,,78,marker,,,,,,,,,,,,,,2024-11-30 04:05:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(46, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-30 04:06:00,62,,,,,,,-49,,78,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363,,,1101873960,,,,,,,,
,,,,,,,,,,,,,,,91,,,,,,,,,,,,,17192,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(254, 35, 96, 185)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-30 04:07:00,44,,,,,,,-25,,78,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,,,1101874020,,,,,,,,
,,,,,,,,,,,,,,,77,,,,,,,,,,,,,17252,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(254, 0, 0, 192)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-30 04:08:00,39,,,,,,,-18,,78,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,,,1101874080,,,,,,,,
,,,,,,,,,,,,,,,70,,,,,,,,,,,,,17312,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 116, 1, 176)",,,,,,,,,
,,sedentary,"(8,)",,,,,,,,,,,,,0,,,,,,,,,,,2024-11-30 04:08:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-30 04:09:00,40,,,,,,,-20,,78,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,1101874140,,,,,,,,
,,,,,,,,,,,,,,,69,,,,,,,,,,,,,17372,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 0, 4, 240)",,,,,,,,,
10,685.0,walking,"(38,)",127.0,,,,,,,,,,,,1,,,,,,,,,,,,17372,,,,,,,,,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,1101874140,,,,,,,,
2,60.0,generic,,0.0,,,,,0.0,729,,,,,,,,,,,,,,,,,2024-11-30 04:09:00,,,,,,,,,,,,,,
10,685.0,walking,,,,,,,202.25,729,,,,,,,,,,,,,254,,,,2024-11-30 04:09:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-30 04:09:00,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,55,,1101874140,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(220, 67, 173, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(220, 67, 173, 65, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
