ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,data,device_index,device_type,event,event_group,event_type,garmin_product,hardware_version,manufacturer,number,sensor_position,serial_number,software_version,source_type,time_created,timestamp,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_19,unknown_2,unknown_20,unknown_23,unknown_24,unknown_251,unknown_252,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
,,,,,,,,,,,,4063,,garmin,,,3488215908,,,2024-11-29 04:06:06,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4063,,garmin,,,3488215908,3.25,,,2024-11-29 04:06:06,,,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,60,,,,,,,,,,1101816366,,,,,,1101787566,,1,,,,6.16.1.4-ETE-garmin-db5eee27,,,,,
,,,,,,1101788880,,,74,,start,,,,,,,,,,2024-11-28 20:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1101814860,,,74,,stop,,,,,,,,,,2024-11-29 03:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,82,78,69,1,8,2,80,1008,129,,,87,,,,,1,,,100,,,,76,100,83,93,100,100
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101760620,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101762840,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101763200,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101763980,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101764880,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101766440,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101767340,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101768600,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101769200,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101771540,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101773520,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1101773880,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101775500,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101776400,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101776880,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101778380,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101781080,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1101782700,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1101783900,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101784860,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1101784980,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1101786060,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,16080,48,,,,,,,,,,"(30, 14, 1, 3, 23, 32, 7, 58, 16, 18, 4, 23, 5, 15, 15, 5, 9, 1, 7, 16, 6, 3, 10, 1, 13, 5, 4, 6, 2, 6, 1, 1, 2, 4, 2, 3, 1, 2, 3, 24, 2, 7, 2, 10, 1, 4, 4, 2, 251, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)",,,,,,,,,,,,,,,,,
