garmin_product,hardware_version,manufacturer,number,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_2,unknown_253,unknown_3,unknown_4,unknown_6,unknown_7,unknown_8,unknown_9
4063,,garmin,,3488215908,,,41,,,,,,,,,,,,
,,,,,325,,,,,,,,,,,,,,
,,,,,,,,159,,,7,10,1101033969,,1,,,,0
,,,,,,,,159,,,7,10,1101033969,,18,,,,0
,,,,,,,,159,,,7,10,1101036360,,0,,,,0
,,,,,,,,159,,,7,10,1101038103,,7,,,,0
,,,,,,,,159,,,7,10,1101038104,,2,,,,0
,,,,,,,,159,,,7,10,1101043542,,5,,,,0
,,,,,,,,159,,,7,10,1101046068,,27,,,,0
,,,,,,,,159,,,7,10,1101046068,,1,,,,0
,,,,,,,,159,,,7,10,1101046496,,18,,,,0
,,,,,,,,159,,,7,10,1101046511,,0,,,,0
,,,,,,,,159,,,7,10,1101048485,,7,,,,0
,,,,,,,,3,0,,,8,1101051243,,67,,,,0
