"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1016.4","1020.0","19.7","18.7","94","2.8","110","8.6","110","T","0.1","--","0.00","--","0","--"
"02","1015.9","1019.5","19.7","18.5","93","2.6","110","6.7","90","0.5","0.4","--","0.00","--","0","--"
"03","1015.6","1019.2","19.7","18.7","94","3.1","100","7.2","80","T","0.2","--","0.00","--","0","--"
"04","1015.6","1019.2","19.7","18.5","93","2.9","110","8.1","100","0.0","0.0","--","0.00","--","0","--"
"05","1015.6","1019.2","19.8","19.0","95","2.4","120","7.5","120","1.5","0.8","--","0.00","--","0","--"
"06","1015.7","1019.3","20.0","19.0","94","2.2","110","6.1","100","T","0.1","0.0","0.00","--","0","--"
"07","1016.4","1020.0","20.3","19.0","92","2.1","110","7.5","80","0.0","0.0","0.0","0.01","--","0","--"
"08","1016.7","1020.3","20.2","19.2","94","3.0","120","7.1","120","1.5","0.6","0.0","0.11","15.0","0","10.0"
"09","1017.0","1020.6","20.8","19.3","91","3.4","100","8.3","120","T","0.1","0.0","0.29","30.0","1","10.0"
"10","1016.6","1020.2","21.0","19.5","91","2.5","110","9.5","80","T","0.5","0.0","0.67","--","2","--"
"11","1016.0","1019.6","21.4","19.5","89","2.7","100","8.6","80","0.0","0.0","0.0","0.87","25.0","3","10.0"
"12","1015.2","1018.8","21.4","19.3","88","3.7","100","9.6","100","T","0.6","0.0","1.00","--","3","--"
"13","1014.1","1017.7","21.9","19.1","84","3.9","100","11.2","90","0.0","0.0","0.2","1.63","--","5","--"
"14","1013.3","1016.9","22.2","19.0","82","3.3","90","10.3","60","0.0","0.0","0.1","1.07","40.0","3","9.0"
"15","1013.6","1017.2","21.3","19.6","90","3.6","100","9.7","70","T","0.4","0.0","0.55","--","1","--"
"16","1013.8","1017.4","21.3","19.2","88","3.0","110","10.1","110","T","0.1","0.0","0.17","--","0","--"
"17","1014.3","1017.9","21.1","19.2","89","3.4","100","8.9","80","T","0.2","0.0","0.06","11.0","0","9.0"
"18","1014.6","1018.2","21.1","19.2","89","3.6","110","8.4","130","T","0.1","0.0","0.00","--","0","--"
"19","1015.2","1018.8","21.2","19.1","88","3.4","100","10.7","90","0.0","0.0","0.0","0.00","--","0","--"
"20","1015.3","1018.9","20.8","19.1","90","3.3","100","10.5","120","0.0","0.0","--","0.00","--","0","--"
"21","1015.6","1019.2","20.9","19.0","89","3.3","100","9.6","100","T","0.1","--","0.00","--","0","--"
"22","1015.6","1019.2","20.8","19.1","90","1.8","110","9.6","100","0.0","0.0","--","0.00","--","0","--"
"23","1015.3","1018.9","20.7","19.0","90","2.7","100","8.8","90","0.0","0.0","--","0.00","--","0","--"
"24","1015.1","1018.7","20.6","18.5","88","3.6","110","9.6","100","0.0","0.0","--","0.00","--","0","--"
