"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1019.3","1022.9","19.0","16.8","87","3.0","110","7.2","120","0.5","0.5","--","0.00","--","0","--"
"02","1019.0","1022.6","18.9","17.2","90","3.0","110","8.7","130","T","0.6","--","0.00","--","0","--"
"03","1018.0","1021.6","19.1","17.2","89","3.2","120","8.8","100","T","0.3","--","0.00","--","0","--"
"04","1018.4","1022.0","18.8","17.8","94","2.9","100","9.5","130","0.5","0.4","--","0.00","--","0","--"
"05","1018.5","1022.1","19.0","17.3","90","3.4","110","10.2","90","T","0.3","--","0.00","--","0","--"
"06","1018.7","1022.3","19.2","17.9","92","2.9","110","8.9","90","0.5","0.5","0.0","0.00","--","0","--"
"07","1019.1","1022.7","19.4","17.7","90","3.0","100","11.0","100","T","0.5","0.0","0.02","--","0","--"
"08","1019.3","1022.9","19.4","17.9","91","3.8","110","10.9","90","0.5","0.5","0.0","0.09","15.0","0","10.0"
"09","1019.7","1023.3","19.8","18.1","90","2.8","110","9.6","60","T","1.0","0.0","0.37","20.0","1","10.0"
"10","1019.1","1022.7","19.9","18.0","89","4.0","100","10.3","90","0.5","1.0","0.0","0.48","--","1","--"
"11","1018.5","1022.1","20.2","18.0","87","4.1","100","10.7","80","T","1.0","0.0","0.80","25.0","3","10.0"
"12","1017.6","1021.2","20.4","18.4","88","3.1","110","10.0","60","0.5","1.0","0.0","0.81","--","3","--"
"13","1017.1","1020.7","20.1","18.1","88","3.3","110","10.3","100","T","1.0","0.0","0.69","--","2","--"
"14","1016.6","1020.2","19.9","18.2","90","2.9","110","10.5","100","0.5","1.0","0.0","0.46","15.0","1","10.0"
"15","1016.5","1020.1","19.5","18.0","91","2.5","100","10.0","110","1.0","1.0","0.0","0.36","--","1","--"
"16","1016.5","1020.1","19.3","18.1","93","2.7","110","9.7","90","T","1.0","0.0","0.10","--","0","--"
"17","1017.0","1020.6","19.5","17.6","89","3.4","110","9.4","120","0.5","0.2","0.0","0.05","20.0","0","10.0"
"18","1017.1","1020.7","19.6","17.9","90","3.6","100","9.5","70","0.0","0.0","0.0","0.00","--","0","--"
"19","1017.3","1020.9","19.5","18.0","91","3.2","110","10.1","120","0.0","0.0","0.0","0.00","--","0","--"
"20","1017.5","1021.1","19.4","18.1","92","3.7","120","8.2","80","T","0.2","--","0.00","--","0","--"
"21","1017.9","1021.5","19.5","18.2","92","2.5","100","8.2","90","T","0.2","--","0.00","--","0","--"
"22","1017.6","1021.2","19.2","17.7","91","3.4","110","8.9","70","1.5","0.5","--","0.00","--","0","--"
"23","1017.4","1021.0","19.5","18.3","93","2.9","120","7.9","110","T","0.1","--","0.00","--","0","--"
"24","1016.9","1020.5","19.7","18.5","93","3.2","120","8.4","120","T","0.1","--","0.00","--","0","--"
