"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1019.4","1023.1","14.4","11.2","81","0.9","190","2.4","140","0.0","0.0","--","0.00","--","0","--"
"02","1019.0","1022.7","14.4","11.0","80","2.4","180","3.8","170","0.0","0.0","--","0.00","--","0","--"
"03","1019.0","1022.7","14.1","10.7","80","1.9","180","3.7","180","0.0","0.0","--","0.00","--","0","--"
"04","1019.3","1023.0","13.7","10.3","80","1.5","140","3.8","150","0.0","0.0","--","0.00","--","0","--"
"05","1019.3","1023.0","13.8","9.8","77","1.6","170","3.5","190","0.0","0.0","--","0.00","--","0","--"
"06","1019.6","1023.3","13.8","9.5","75","1.2","170","3.8","170","0.0","0.0","0.0","0.00","--","0","--"
"07","1019.7","1023.4","14.0","9.0","72","2.2","170","4.3","200","0.0","0.0","0.0","0.04","--","0","--"
"08","1020.1","1023.8","15.1","9.9","71","0.9","120","4.2","170","0.0","0.0","0.4","0.46","50.0","1","4.0"
"09","1020.1","1023.7","17.0","9.4","61","1.1","130","2.5","120","0.0","0.0","1.0","1.27","60.0","2","3.0"
"10","1019.5","1023.1","19.0","7.8","48","1.3","70","5.6","60","0.0","0.0","0.9","1.81","--","4","--"
"11","1018.6","1022.2","19.5","7.0","44","1.9","100","6.7","90","0.0","0.0","0.8","2.04","50.0","5","2.0"
"12","1017.5","1021.1","19.6","6.7","43","2.3","90","7.7","110","0.0","0.0","1.0","2.48","--","7","--"
"13","1016.7","1020.3","20.1","6.1","40","3.2","100","7.2","60","0.0","0.0","1.0","2.50","--","6","--"
"14","1016.3","1019.9","19.6","6.7","43","2.8","80","7.9","100","0.0","0.0","1.0","2.18","50.0","5","2.0"
"15","1016.1","1019.7","18.9","7.1","46","3.6","100","10.2","80","0.0","0.0","1.0","1.63","--","3","--"
"16","1016.3","1019.9","17.9","7.1","49","3.3","100","9.3","100","0.0","0.0","1.0","0.93","--","1","--"
"17","1016.8","1020.4","17.3","8.5","56","3.3","100","10.4","90","0.0","0.0","0.8","0.24","40.0","0","2.0"
"18","1016.8","1020.4","17.0","9.0","59","3.7","90","8.9","90","0.0","0.0","0.0","0.00","--","0","--"
"19","1017.1","1020.7","16.7","8.7","59","3.2","110","10.3","80","0.0","0.0","0.0","0.00","--","0","--"
"20","1017.6","1021.2","16.3","8.3","59","3.3","90","9.0","100","0.0","0.0","--","0.00","--","0","--"
"21","1017.3","1021.0","16.0","7.8","58","3.8","100","9.4","100","0.0","0.0","--","0.00","--","0","--"
"22","1017.0","1020.7","15.8","7.8","59","2.9","100","9.7","100","0.0","0.0","--","0.00","--","0","--"
"23","1016.9","1020.6","15.6","7.6","59","3.7","90","9.3","100","0.0","0.0","--","0.00","--","0","--"
"24","1016.6","1020.3","15.5","7.8","60","3.3","100","8.4","90","0.0","0.0","--","0.00","--","0","--"
