"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1011.9","1015.5","22.2","17.1","73","2.5","100","6.6","100","0.0","0.0","--","0.00","--","0","--"
"02","1011.7","1015.3","22.1","17.5","75","3.0","100","6.2","100","0.0","0.0","--","0.00","--","0","--"
"03","1011.7","1015.3","22.0","17.4","75","2.5","100","6.1","90","0.0","0.0","--","0.00","--","0","--"
"04","1011.4","1015.0","21.9","17.3","75","2.8","100","6.9","100","0.0","0.0","--","0.00","--","0","--"
"05","1011.6","1015.2","21.9","17.3","75","3.1","100","6.8","80","0.0","0.0","--","0.00","--","0","--"
"06","1012.2","1015.8","21.9","17.3","75","2.8","100","6.6","100","0.0","0.0","0.0","0.00","--","0","--"
"07","1012.8","1016.4","21.9","17.1","74","2.8","100","6.9","100","0.0","0.0","0.1","0.04","--","0","--"
"08","1013.1","1016.6","23.2","17.2","69","2.5","110","7.7","120","0.0","0.0","1.0","0.53","70.0","1","1.0"
"09","1013.7","1017.2","24.7","17.0","62","3.6","100","8.8","110","0.0","0.0","1.0","1.22","70.0","2","2.0"
"10","1013.7","1017.2","24.7","16.7","61","4.5","120","9.3","80","0.0","0.0","0.3","0.99","--","3","--"
"11","1013.5","1017.0","24.9","18.1","66","3.7","90","9.4","110","0.0","0.0","0.2","1.37","50.0","4","8.0"
"12","1013.0","1016.5","23.5","18.2","72","3.6","100","8.9","100","T","0.2","0.2","0.97","--","3","--"
"13","1012.2","1015.7","22.9","17.2","70","3.7","100","11.6","80","T","0.4","0.4","1.55","--","4","--"
"14","1012.1","1015.7","22.4","17.1","72","5.0","100","11.1","120","T","0.4","0.1","0.80","45.0","2","9.0"
"15","1012.1","1015.7","22.5","16.5","69","2.9","120","10.0","110","T","0.2","0.0","0.30","--","1","--"
"16","1012.3","1015.9","22.3","16.1","68","3.8","100","8.9","80","0.0","0.0","0.0","0.28","--","1","--"
"17","1012.8","1016.4","22.2","15.3","65","3.4","120","8.1","120","0.0","0.0","0.2","0.12","40.0","0","8.0"
"18","1013.2","1016.8","21.6","15.9","70","2.1","130","7.8","130","0.0","0.0","0.0","0.00","--","0","--"
"19","1013.5","1017.1","21.6","16.1","71","3.0","130","8.6","140","0.0","0.0","0.0","0.00","--","0","--"
"20","1013.8","1017.4","21.5","16.7","74","3.2","120","7.2","110","0.0","0.0","--","0.00","--","0","--"
"21","1013.6","1017.2","21.5","16.5","73","2.7","110","8.4","130","0.0","0.0","--","0.00","--","0","--"
"22","1014.0","1017.6","22.0","15.8","68","2.7","110","8.8","80","0.0","0.0","--","0.00","--","0","--"
"23","1013.9","1017.5","22.0","14.9","64","2.8","100","7.9","120","0.0","0.0","--","0.00","--","0","--"
"24","1014.0","1017.6","21.9","15.0","65","3.8","100","9.4","100","0.0","0.0","--","0.00","--","0","--"
