"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1018.0","1021.6","20.1","15.1","73","2.4","130","7.8","140","0.0","0.0","--","0.00","--","0","--"
"02","1017.8","1021.4","20.1","15.1","73","3.2","120","8.5","120","0.0","0.0","--","0.00","--","0","--"
"03","1017.8","1021.4","20.1","15.1","73","3.1","120","8.3","120","0.0","0.0","--","0.00","--","0","--"
"04","1017.8","1021.4","19.9","15.4","75","3.2","120","8.5","140","0.0","0.0","--","0.00","--","0","--"
"05","1018.3","1021.9","20.0","14.8","72","3.3","120","7.6","120","0.0","0.0","--","0.00","--","0","--"
"06","1018.7","1022.3","19.7","15.2","75","2.8","110","8.7","90","0.0","0.0","0.0","0.00","--","0","--"
"07","1019.3","1022.9","19.5","15.4","77","2.5","140","8.9","130","0.0","0.0","0.0","0.06","--","0","--"
"08","1019.6","1023.2","20.2","15.6","75","3.2","130","7.6","120","0.0","0.0","0.0","0.33","60.0","0","6.0"
"09","1019.6","1023.2","21.4","15.7","70","3.0","120","9.3","110","0.0","0.0","0.4","0.85","50.0","2","5.0"
"10","1019.1","1022.7","22.1","15.7","67","4.2","120","12.1","110","0.0","0.0","0.5","1.46","--","4","--"
"11","1018.6","1022.2","22.3","16.4","69","3.9","110","12.8","130","0.0","0.0","0.4","1.56","50.0","5","7.0"
"12","1017.4","1021.0","22.2","16.7","71","4.2","100","13.4","100","0.0","0.0","0.2","1.53","--","5","--"
"13","1016.6","1020.2","22.4","16.7","70","4.9","110","12.2","90","0.0","0.0","0.0","1.20","--","4","--"
"14","1016.1","1019.7","22.5","17.2","72","3.8","110","12.9","100","0.0","0.0","0.1","1.19","40.0","3","8.0"
"15","1016.1","1019.7","22.2","17.6","75","3.9","120","10.3","80","0.0","0.0","0.3","0.97","--","2","--"
"16","1016.3","1019.9","22.0","17.4","75","3.8","110","12.7","120","0.0","0.0","0.2","0.51","--","1","--"
"17","1016.7","1020.3","21.8","17.4","76","3.3","100","12.0","100","0.0","0.0","0.0","0.16","30.0","0","8.0"
"18","1017.2","1020.8","21.7","17.5","77","3.4","110","11.7","100","0.0","0.0","0.0","0.00","--","0","--"
"19","1017.5","1021.1","21.5","17.7","79","2.9","110","10.5","120","0.0","0.0","0.0","0.00","--","0","--"
"20","1017.3","1020.9","21.5","17.9","80","3.5","110","9.9","130","0.0","0.0","--","0.00","--","0","--"
"21","1016.8","1020.4","21.4","18.4","83","3.7","120","8.7","80","0.0","0.0","--","0.00","--","0","--"
"22","1016.2","1019.8","21.4","18.4","83","3.6","100","9.1","100","0.0","0.0","--","0.00","--","0","--"
"23","1015.9","1019.5","21.4","18.4","83","2.8","110","8.9","100","0.0","0.0","--","0.00","--","0","--"
"24","1015.6","1019.2","21.6","18.8","84","4.5","100","9.7","90","0.0","0.0","--","0.00","--","0","--"
