"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1014.6","1018.2","20.5","19.0","91","2.3","110","6.7","100","0.0","0.0","--","0.00","--","0","--"
"02","1014.1","1017.7","20.6","18.7","89","3.0","100","7.8","90","0.0","0.0","--","0.00","--","0","--"
"03","1013.8","1017.4","20.3","18.1","87","3.3","110","9.0","80","0.0","0.0","--","0.00","--","0","--"
"04","1013.6","1017.2","20.2","18.2","88","2.6","110","8.3","80","0.0","0.0","--","0.00","--","0","--"
"05","1013.9","1017.5","20.2","18.5","90","2.6","120","8.8","110","0.0","0.0","--","0.00","--","0","--"
"06","1014.5","1018.1","20.4","18.5","89","2.6","100","8.5","90","0.0","0.0","0.0","0.00","--","0","--"
"07","1015.1","1018.7","20.4","18.5","89","2.8","100","8.3","90","0.0","0.0","0.0","0.04","--","0","--"
"08","1015.8","1019.4","20.7","18.3","86","2.0","110","9.3","80","0.0","0.0","0.0","0.21","30.0","0","10.0"
"09","1016.6","1020.2","20.9","17.9","83","2.6","100","8.1","90","0.0","0.0","0.0","0.40","30.0","1","10.0"
"10","1016.8","1020.4","20.6","17.8","84","3.0","100","7.6","90","T","0.2","0.0","0.47","--","1","--"
"11","1016.3","1019.9","19.9","17.7","87","2.5","110","6.9","90","0.5","0.5","0.0","0.39","20.0","1","10.0"
"12","1015.8","1019.4","19.5","18.3","93","1.8","100","7.3","90","2.0","1.0","0.0","0.62","--","2","--"
"13","1014.9","1018.5","19.3","17.3","88","2.5","100","6.9","90","0.5","0.3","0.0","0.56","--","2","--"
"14","1014.7","1018.3","19.1","17.6","91","2.8","110","7.0","100","1.5","0.7","0.0","0.30","10.0","1","10.0"
"15","1015.1","1018.7","19.3","18.0","92","3.2","100","7.5","110","0.5","1.0","0.0","0.28","--","1","--"
"16","1015.4","1019.0","19.2","17.5","90","3.3","100","8.6","110","T","0.2","0.0","0.15","--","0","--"
"17","1016.1","1019.7","19.2","17.3","89","2.6","110","7.8","90","0.0","0.0","0.0","0.05","15.0","0","10.0"
"18","1016.3","1019.9","19.0","17.3","90","3.3","120","9.9","120","T","0.2","0.0","0.00","--","0","--"
"19","1016.7","1020.3","18.9","17.7","93","2.0","120","6.8","120","0.5","0.4","0.0","0.00","--","0","--"
"20","1016.8","1020.4","19.0","17.3","90","3.2","100","7.6","100","0.0","0.0","--","0.00","--","0","--"
"21","1016.9","1020.5","18.9","17.2","90","3.3","110","9.2","130","0.0","0.0","--","0.00","--","0","--"
"22","1016.9","1020.5","18.6","17.1","91","2.7","110","9.5","90","T","0.1","--","0.00","--","0","--"
"23","1016.6","1020.2","18.8","17.5","92","2.7","100","8.0","100","0.0","0.0","--","0.00","--","0","--"
"24","1016.3","1019.9","18.7","17.5","93","2.6","120","7.6","90","T","0.1","--","0.00","--","0","--"
