"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1016.1","1019.7","18.7","17.4","92","2.9","120","8.1","140","T","0.2","--","0.00","--","0","--"
"02","1015.6","1019.2","18.8","17.3","91","2.4","110","6.7","90","T","0.1","--","0.00","--","0","--"
"03","1015.2","1018.8","18.6","17.3","92","3.5","110","9.9","130","T","0.2","--","0.00","--","0","--"
"04","1015.3","1018.9","18.7","17.2","91","3.3","100","7.8","90","T","0.1","--","0.00","--","0","--"
"05","1015.5","1019.1","18.6","17.1","91","2.8","110","9.7","90","T","0.1","--","0.00","--","0","--"
"06","1015.9","1019.5","18.7","17.2","91","3.2","110","8.2","100","T","0.1","0.0","0.00","--","0","--"
"07","1016.4","1020.0","19.1","17.2","89","3.5","110","7.7","130","0.0","0.0","0.0","0.03","--","0","--"
"08","1017.0","1020.6","19.2","17.5","90","3.2","110","8.5","90","T","0.1","0.0","0.16","10.0","0","10.0"
"09","1017.3","1020.9","19.6","17.4","87","3.1","110","8.2","70","0.0","0.0","0.0","0.51","15.0","1","9.0"
"10","1017.3","1020.9","19.9","16.9","83","3.3","110","10.3","130","0.0","0.0","0.0","0.77","--","2","--"
"11","1017.0","1020.6","20.2","16.8","81","3.5","110","10.4","90","0.0","0.0","0.0","0.93","25.0","3","10.0"
"12","1016.1","1019.7","20.2","16.7","80","4.4","100","10.9","80","0.0","0.0","0.0","1.06","--","3","--"
"13","1015.3","1018.9","20.7","16.7","78","3.1","100","11.3","70","0.0","0.0","0.0","1.04","--","3","--"
"14","1015.3","1018.9","20.3","16.4","78","3.1","90","11.5","110","0.0","0.0","0.0","0.73","20.0","2","10.0"
"15","1015.4","1019.0","20.0","16.5","80","4.1","100","10.6","80","T","0.2","0.0","0.45","--","1","--"
"16","1015.9","1019.5","19.9","16.4","80","2.3","100","10.8","120","0.0","0.0","0.0","0.14","--","0","--"
"17","1016.4","1020.0","19.6","15.9","79","4.2","100","9.6","80","0.0","0.0","0.0","0.04","30.0","0","10.0"
"18","1016.6","1020.2","19.7","16.0","79","2.7","120","8.9","90","0.0","0.0","0.0","0.00","--","0","--"
"19","1017.1","1020.7","19.8","15.5","76","3.0","110","8.5","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1017.5","1021.1","20.0","14.8","72","2.6","120","7.7","120","0.0","0.0","--","0.00","--","0","--"
"21","1017.6","1021.2","20.0","13.9","68","3.1","130","7.4","120","0.0","0.0","--","0.00","--","0","--"
"22","1017.8","1021.4","20.0","14.2","69","2.5","130","5.8","150","0.0","0.0","--","0.00","--","0","--"
"23","1017.7","1021.3","19.6","14.9","74","1.9","140","6.1","110","0.0","0.0","--","0.00","--","0","--"
"24","1017.3","1020.9","20.1","15.3","74","3.0","120","6.7","110","0.0","0.0","--","0.00","--","0","--"
