"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1017.1","1020.7","19.8","15.3","75","3.2","110","8.2","80","0.0","0.0","--","0.00","--","0","--"
"02","1016.9","1020.5","19.6","15.1","75","2.1","120","7.6","120","0.0","0.0","--","0.00","--","0","--"
"03","1017.0","1020.6","19.7","15.0","74","2.6","110","6.5","80","0.0","0.0","--","0.00","--","0","--"
"04","1017.0","1020.6","19.9","14.7","72","2.3","120","6.6","130","0.0","0.0","--","0.00","--","0","--"
"05","1017.5","1021.1","19.8","15.0","74","2.6","120","6.3","80","0.0","0.0","--","0.00","--","0","--"
"06","1018.4","1022.0","19.9","14.9","73","2.0","110","5.7","90","0.0","0.0","0.0","0.00","--","0","--"
"07","1018.9","1022.5","20.1","14.3","69","2.8","120","6.5","100","0.0","0.0","0.0","0.01","--","0","--"
"08","1019.5","1023.1","20.3","14.9","71","2.3","120","7.8","120","0.0","0.0","0.0","0.19","30.0","0","9.0"
"09","1019.6","1023.2","20.5","14.6","69","2.9","110","8.3","120","0.0","0.0","0.0","0.31","25.0","0","9.0"
"10","1019.3","1022.9","21.3","14.0","63","3.0","110","9.2","100","0.0","0.0","0.0","0.75","--","2","--"
"11","1018.9","1022.5","21.7","14.1","62","4.1","100","11.3","90","0.0","0.0","0.0","1.06","35.0","3","8.0"
"12","1017.8","1021.4","22.2","14.3","61","4.2","100","12.0","80","0.0","0.0","0.3","1.76","--","5","--"
"13","1017.3","1020.9","22.0","15.1","65","4.8","110","12.0","80","0.0","0.0","0.1","1.29","--","4","--"
"14","1017.0","1020.6","20.9","15.9","73","4.0","100","14.1","90","0.0","0.0","0.0","0.94","40.0","2","9.0"
"15","1016.9","1020.5","20.3","15.7","75","4.3","120","11.3","110","0.0","0.0","0.0","0.55","--","1","--"
"16","1017.5","1021.1","20.3","14.7","70","4.0","110","10.6","110","0.0","0.0","0.0","0.21","--","0","--"
"17","1017.9","1021.5","20.1","15.3","74","3.5","100","9.9","110","0.0","0.0","0.0","0.04","25.0","0","10.0"
"18","1017.7","1021.3","19.2","16.4","84","2.9","120","9.6","100","0.0","0.0","0.0","0.00","--","0","--"
"19","1019.0","1022.6","19.0","16.4","85","2.9","110","8.8","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1019.2","1022.8","19.1","15.8","81","3.7","110","8.8","100","0.0","0.0","--","0.00","--","0","--"
"21","1019.3","1022.9","19.4","15.3","77","3.2","100","9.7","100","0.0","0.0","--","0.00","--","0","--"
"22","1019.1","1022.7","20.1","14.7","71","4.2","120","9.8","100","0.0","0.0","--","0.00","--","0","--"
"23","1018.8","1022.4","19.9","15.1","74","3.1","140","9.6","120","0.0","0.0","--","0.00","--","0","--"
"24","1018.3","1021.9","19.9","14.9","73","2.3","110","7.4","120","0.0","0.0","--","0.00","--","0","--"
