"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1013.9","1017.5","22.7","20.1","85","0.5","300","5.6","350","0.0","0.0","--","0.00","--","0","--"
"02","1014.0","1017.6","22.8","20.2","85","0.5","310","2.9","330","0.0","0.0","--","0.00","--","0","--"
"03","1014.3","1017.9","22.7","19.9","84","1.4","320","4.7","320","0.0","0.0","--","0.00","--","0","--"
"04","1014.6","1018.2","22.3","19.5","84","1.4","310","6.8","330","0.0","0.0","--","0.00","--","0","--"
"05","1015.2","1018.8","22.4","19.4","83","1.1","310","6.3","300","0.0","0.0","--","0.00","--","0","--"
"06","1016.0","1019.6","22.4","19.4","83","1.2","310","4.3","310","0.0","0.0","0.0","0.00","--","0","--"
"07","1016.8","1020.4","21.2","19.7","91","3.2","340","7.8","330","T","0.3","0.0","0.01","--","0","--"
"08","1017.5","1021.1","21.3","19.2","88","1.1","340","8.7","350","0.0","0.0","0.0","0.12","40.0","0","10.0"
"09","1018.6","1022.2","19.1","17.4","90","2.5","100","7.8","90","3.0","0.8","0.0","0.11","10.0","0","10.0"
"10","1019.1","1022.7","18.5","16.7","89","3.2","110","7.7","110","0.5","1.0","0.0","0.30","--","1","--"
"11","1018.7","1022.3","18.7","15.8","83","2.3","100","7.5","100","0.5","0.5","0.0","0.61","50.0","2","10.0"
"12","1017.8","1021.4","18.6","14.7","78","2.8","120","8.4","100","0.0","0.0","0.0","0.60","--","2","--"
"13","1016.4","1020.0","19.4","14.5","73","4.0","110","11.3","90","0.0","0.0","0.3","1.73","--","5","--"
"14","1015.6","1019.2","18.2","13.7","75","2.6","80","11.1","100","0.0","0.0","0.2","1.05","35.0","3","10.0"
"15","1015.9","1019.5","17.3","12.4","73","3.3","90","10.5","90","0.0","0.0","0.0","0.28","--","0","--"
"16","1016.3","1019.9","17.0","12.1","73","3.6","100","11.5","110","0.0","0.0","0.0","0.21","--","0","--"
"17","1016.9","1020.5","17.2","11.5","69","3.6","80","11.3","80","0.0","0.0","0.0","0.06","20.0","0","10.0"
"18","1017.3","1020.9","17.3","11.4","68","3.3","90","12.2","90","0.0","0.0","0.0","0.00","--","0","--"
"19","1018.1","1021.7","17.4","11.0","66","3.2","100","8.8","110","0.0","0.0","0.0","0.00","--","0","--"
"20","1018.4","1022.0","17.6","10.7","64","2.9","100","9.8","80","0.0","0.0","--","0.00","--","0","--"
"21","1018.7","1022.3","17.7","11.1","65","3.0","100","10.3","90","0.0","0.0","--","0.00","--","0","--"
"22","1018.7","1022.3","17.6","11.0","65","4.1","100","10.3","110","0.0","0.0","--","0.00","--","0","--"
"23","1018.5","1022.1","17.8","10.4","62","2.9","100","11.0","100","0.0","0.0","--","0.00","--","0","--"
"24","1018.1","1021.7","17.9","10.5","62","3.2","100","9.5","100","0.0","0.0","--","0.00","--","0","--"
