"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1017.8","1021.4","16.2","9.9","66","1.6","100","4.3","90","0.0","0.0","--","0.00","--","0","--"
"02","1017.5","1021.2","15.8","10.4","70","1.1","110","4.0","120","0.0","0.0","--","0.00","--","0","--"
"03","1017.5","1021.2","15.7","10.0","69","1.2","80","3.2","100","0.0","0.0","--","0.00","--","0","--"
"04","1017.5","1021.2","14.9","10.3","74","1.3","200","2.2","70","0.0","0.0","--","0.00","--","0","--"
"05","1017.7","1021.4","14.7","10.3","75","1.7","180","3.0","180","0.0","0.0","--","0.00","--","0","--"
"06","1018.1","1021.8","14.6","10.4","76","0.8","190","2.8","200","0.0","0.0","0.0","0.00","--","0","--"
"07","1018.6","1022.3","14.8","10.8","77","1.0","190","2.1","190","0.0","0.0","0.0","0.05","--","0","--"
"08","1019.4","1023.1","16.4","11.6","73","0.9","210","3.0","170","0.0","0.0","0.6","0.49","60.0","1","4.0"
"09","1019.7","1023.3","18.4","11.3","63","1.6","130","5.8","100","0.0","0.0","0.4","0.89","55.0","2","7.0"
"10","1019.3","1022.9","19.8","10.0","53","3.4","100","9.8","90","0.0","0.0","0.8","1.74","--","4","--"
"11","1018.9","1022.5","20.1","10.0","52","3.6","80","9.0","50","0.0","0.0","0.6","1.77","45.0","5","9.0"
"12","1017.8","1021.4","19.8","9.7","52","3.0","50","8.2","50","0.0","0.0","0.2","1.51","--","5","--"
"13","1016.8","1020.4","20.1","9.4","50","2.7","100","8.0","90","0.0","0.0","0.7","2.00","--","6","--"
"14","1016.2","1019.8","20.5","9.5","49","2.9","120","9.9","120","0.0","0.0","1.0","2.21","40.0","5","6.0"
"15","1015.8","1019.4","20.2","9.5","50","2.0","110","7.7","140","0.0","0.0","1.0","1.70","--","3","--"
"16","1015.9","1019.5","18.9","8.9","52","2.3","100","9.2","100","0.0","0.0","1.0","0.90","--","1","--"
"17","1016.9","1020.5","18.3","8.9","54","2.1","80","7.6","110","0.0","0.0","0.7","0.23","22.0","0","4.0"
"18","1017.4","1021.0","17.8","8.9","56","1.7","100","6.2","100","0.0","0.0","0.0","0.00","--","0","--"
"19","1018.3","1021.9","17.7","9.6","59","1.5","90","5.7","80","0.0","0.0","0.0","0.00","--","0","--"
"20","1018.8","1022.4","17.3","9.7","61","0.9","80","4.0","100","0.0","0.0","--","0.00","--","0","--"
"21","1019.4","1023.0","16.8","10.4","66","1.0","170","2.4","110","0.0","0.0","--","0.00","--","0","--"
"22","1019.8","1023.5","16.0","11.4","74","0.9","200","2.4","140","0.0","0.0","--","0.00","--","0","--"
"23","1019.8","1023.5","15.4","11.4","77","1.5","170","3.5","190","0.0","0.0","--","0.00","--","0","--"
"24","1019.6","1023.3","15.0","11.4","79","1.2","180","3.5","180","0.0","0.0","--","0.00","--","0","--"
