"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1011.6","1015.2","17.6","15.2","86","1.0","220","2.3","240","0.0","0.0","--","0.00","--","0","--"
"02","1011.5","1015.1","17.4","15.2","87","1.0","170","2.0","160","0.0","0.0","--","0.00","--","0","--"
"03","1011.7","1015.3","17.3","15.1","87","1.0","170","2.2","180","0.0","0.0","--","0.00","--","0","--"
"04","1012.0","1015.6","16.9","14.9","88","0.4","170","1.8","170","0.0","0.0","--","0.00","--","0","--"
"05","1012.3","1015.9","16.7","14.7","88","0.9","220","2.4","190","0.0","0.0","--","0.00","--","0","--"
"06","1012.4","1016.0","16.8","14.6","87","1.2","130","2.4","170","0.0","0.0","0.0","0.00","--","0","--"
"07","1012.7","1016.3","17.1","14.7","86","1.5","140","2.2","130","0.0","0.0","0.4","0.05","--","0","--"
"08","1012.9","1016.5","18.5","15.4","82","0.8","150","2.0","160","0.0","0.0","1.0","0.54","60.0","0","1.0"
"09","1013.0","1016.6","22.3","16.4","69","1.6","130","4.8","70","0.0","0.0","1.0","1.27","60.0","X","1.0"
"10","1012.8","1016.3","25.1","16.8","60","2.1","100","6.5","100","0.0","0.0","1.0","1.89","--","4","--"
"11","1012.2","1015.7","26.5","15.9","52","2.6","110","6.8","100","0.0","0.0","1.0","2.21","60.0","6","1.0"
"12","1011.3","1014.8","26.9","15.6","50","1.8","100","6.4","80","0.0","0.0","1.0","2.51","--","7","--"
"13","1010.5","1014.0","27.8","14.5","44","3.3","120","6.6","120","0.0","0.0","1.0","2.44","--","7","--"
"14","1009.8","1013.3","28.1","14.7","44","3.7","140","7.2","110","0.0","0.0","1.0","2.15","60.0","5","1.0"
"15","1009.8","1013.3","27.3","14.7","46","3.8","140","7.7","160","0.0","0.0","1.0","1.62","--","3","--"
"16","1009.9","1013.4","26.2","15.0","50","3.4","130","7.7","130","0.0","0.0","1.0","0.94","--","1","--"
"17","1010.4","1013.9","24.9","15.3","55","2.5","120","7.1","150","0.0","0.0","0.9","0.25","60.0","0","0.0"
"18","1011.1","1014.6","23.9","15.9","61","2.7","100","6.9","120","0.0","0.0","0.0","0.00","--","0","--"
"19","1011.8","1015.3","23.4","16.0","63","2.4","100","6.5","90","0.0","0.0","0.0","0.00","--","0","--"
"20","1011.9","1015.4","23.1","16.2","65","2.3","100","6.3","100","0.0","0.0","--","0.00","--","0","--"
"21","1012.1","1015.6","22.8","16.6","68","2.7","100","6.9","80","0.0","0.0","--","0.00","--","0","--"
"22","1012.3","1015.9","22.7","16.7","69","2.7","100","6.3","60","0.0","0.0","--","0.00","--","0","--"
"23","1012.2","1015.8","22.5","16.8","70","3.0","100","6.4","100","0.0","0.0","--","0.00","--","0","--"
"24","1012.1","1015.7","22.2","17.1","73","2.8","100","7.0","90","0.0","0.0","--","0.00","--","0","--"
